_id,latest_count_id,latest_count_type,latest_count_date_start,latest_count_date_end,latest_count_duration,location_name,longitude,latitude,centreline_id,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_start,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_start,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct
50,3015445,ATR_SPEED_VOLUME,2026-02-03,2026-02-05,72,Poplar Plains Rd: Boulton Dr - Cottingham Rd,-79.40300346064087,43.67765572234511,30136841,2947,2947,,08:00:00,131,15:30:00,441,22.8,32.8,37.3,
51,3015411,ATR_SPEED_VOLUME,2026-02-03,2026-02-05,72,Foch Ave: Alcan Ave - Jellicoe Ave,-79.54571000000001,43.59494,914735,739.7,739.7,,07:45:00,103,16:00:00,76,30.3,39.2,44.5,
52,3015419,ATR_SPEED_VOLUME,2026-01-20,2026-01-22,72,Barton Ave: Lane W of Palmerston Av and S of Barton - Euclid Ave,-79.41567500000001,43.667395000000006,14012031,1977,1977,,08:30:00,163,17:15:00,214,23.7,31.4,36.3,
53,3015036,ATR_SPEED_VOLUME,2026-01-20,2026-01-22,72,Bremner Blvd: Olympic Park Trl - Rees St,-79.38618016280124,43.64190226278613,30106817,6648.3,6648.3,,08:30:00,490,17:00:00,548,29.9,38.4,43.8,
54,3015310,ATR_SPEED_VOLUME,2026-01-20,2026-01-22,72,Chartland Blvd S: Dibgate Blvd - Briarscross Blvd,-79.27022759830903,43.80260144101459,104797,1887.3,1887.3,,08:00:00,229,17:00:00,171,30.7,39.9,52.3,
55,3015035,ATR_SPEED_VOLUME,2026-01-20,2026-01-22,72,Dufferin St: Wenderly Dr - Claver Ave,-79.45417,43.71155,9655343,29086.7,29086.7,,08:00:00,2186,16:45:00,2070,40.4,51.5,57.2,
56,3015033,ATR_SPEED_VOLUME,2026-01-20,2026-01-22,72,Beachell St: Eglinton Ave E - Luella St,-79.22251260522577,43.74336671817827,110508,828.7,828.7,,08:00:00,71,16:15:00,80,31,39.8,44.6,
57,3015032,ATR_SPEED_VOLUME,2026-01-20,2026-01-22,72,Parkway Forest Dr: Corvus Starway - Forest Manor Rd,-79.34191317747224,43.774447725824075,8823988,5949.7,5949.7,,08:00:00,394,17:30:00,447,31.6,42.3,48.2,
58,3015413,ATR_SPEED_VOLUME,2026-01-20,2026-01-22,72,Genthorn Ave: Wansey Rd - Moncrieff Dr,-79.568205,43.7244,907587,2202.3,2202.3,,08:00:00,251,14:45:00,223,41.8,51.1,58.2,
59,3015314,ATR_SPEED_VOLUME,2026-01-20,2026-01-22,72,Sandhurst Crcl: Brimwood Blvd - Finch Ave E,-79.27112610829475,43.80908513174741,7531000,4595.7,4595.7,,08:15:00,480,15:15:00,371,34.2,44.1,57.2,
